 ESTADISTICA MENSUAL CORRESPONDIENTE A : Anguil-INTA                     
 LATITUD= -36.50(SUR) LONGITUD= -63.98(WdeG) ALTURA =  165 m.s.n.m.
 SERIE ANALIZADA = 1981-2010

VARIABLE_CLIMATICA  UNIDAD   ENE.   FEB.   MAR.   ABR.   MAY.   JUN.   JUL.   AGO.   SET.   OCT.   NOV.   DIC.   AñO
TEMP. MAXIMA      °C     30.4   29.3   26.6   22.4   18.0   14.6   14.3   17.2   19.6   22.9   26.4   29.5   22.6
TEMP. MINIMA      °C     15.7   14.2   12.5    8.1    4.5    1.6    0.5    2.0    4.5    8.3   11.2   14.1    8.1
TEMP. MEDIA       °C     23.1   21.7   19.6   15.2   11.3    8.1    7.4    9.6   12.0   15.6   18.8   21.8   15.3
PRECIPITACION     mm    108.3   83.3  116.1   58.9   33.7   17.9   22.5   28.2   53.8   74.5   77.8   88.5  763.6
T. MINIMA A 5     °C     13.1   11.8   10.5    5.3    2.1   -0.9   -2.5   -1.0    1.6    5.5    8.5   11.5    5.5
T. MINIMA A 50    °C     14.0   13.0   11.3    6.4    3.1    0.4   -0.4    0.3    2.8    6.9    9.5   12.1    6.6
HELIOF. EFECTIVA  hs      9.6    9.1    7.5    6.1    4.9    4.1    4.6    5.5    6.3    7.3    8.9    9.5    7.0
HELIOF. RELATIVA   %     67.3   68.1   60.9   55.2   47.7   42.4   46.3   50.7   53.1   56.5   63.7   65.5   56.5
TENSION VAPOR    hPa     17.4   17.1   16.1   12.5   10.1    8.3    7.6    7.8    9.1   11.5   13.3   15.6   12.2
HUMEDAD RELATIVA   %     58.8   63.2   69.3   71.4   75.3   76.6   73.5   65.7   62.9   62.7   57.9   56.5   66.2
TEMP. PUNTO ROCIO °C     14.8   14.4   13.6    9.6    6.5    3.5    2.1    2.6    4.8    8.4   10.5   13.0    8.7
V.VIENTO a 10m  km/h     10.4   10.0    9.4    8.7    8.1    8.1    9.3   10.9   11.9   12.4   11.8   11.8   10.2
V.VIENTO a  2m  km/h      8.3    8.0    7.5    7.0    6.5    6.5    7.4    8.7    9.6    9.9    9.4    9.4    8.2
RAD. GLOBAL    MJ/m2     24.1   21.7   16.5   11.7    8.0    6.3    7.2    9.9   13.6   17.9   22.5   24.3   15.3
EVAPOT. POTENCIAL mm    174.5  134.0  102.5   57.2   31.6   23.6   28.5   49.1   74.0  112.3  146.5  177.3 1111.2
GRADOS DIA    > 10°C    404.8  331.5  297.1  160.7   67.1   15.4   13.9   41.3   81.0  176.8  264.7  365.9 2220.2
COCIENTE FOTOTERMIC0      1.4    1.4    1.2    1.7    6.5   13.5   24.4   17.3    6.2    1.9    1.8    1.5    6.6
FRECUENCIA HELADAS        0.0    0.0    0.0    1.4    5.7   11.3   14.6   10.2    5.0    0.8    0.1    0.0   49.1
HORAS de FRIO <  7°C      0.3    1.8    9.0   61.6  190.9  327.0  375.9  281.9  159.8   47.1   13.3    1.9 1470.4

