,fecha,codigo_nh,t_max,t_min,precip,hr,heliofania_efec,radiacion,etp,t_media,amplitud,viento_2m
1,01/01/1961,446,NA,13,2.5,45,NA,NA,NA,NA,NA,18.4
2,02/01/1961,446,NA,13,0,28,NA,NA,NA,NA,NA,8.8
3,03/01/1961,446,NA,14,0,27,NA,NA,NA,NA,NA,6.4
4,04/01/1961,446,NA,12.7,6,28,NA,NA,NA,NA,NA,10.4
5,05/01/1961,446,NA,13.3,0,42,NA,NA,NA,NA,NA,2.4
6,06/01/1961,446,NA,7,0,NA,NA,NA,NA,NA,NA,NA
7,07/01/1961,446,NA,14,36,NA,NA,NA,NA,NA,NA,NA
8,08/01/1961,446,NA,15,10.8,61,NA,NA,NA,NA,NA,3.2
9,09/01/1961,446,NA,10.5,7.5,60,NA,NA,NA,NA,NA,7.2
10,10/01/1961,446,NA,10.3,0,34,NA,NA,NA,NA,NA,8.8
11,11/01/1961,446,NA,14.5,0,44,NA,NA,NA,NA,NA,13.6
12,12/01/1961,446,NA,17.4,0,47,NA,NA,NA,NA,NA,7.2
13,13/01/1961,446,NA,17.4,0,71,NA,NA,NA,NA,NA,5.6
14,14/01/1961,446,NA,18.5,6.3,52,NA,NA,NA,NA,NA,5.6
15,15/01/1961,446,NA,14.2,0,42,NA,NA,NA,NA,NA,6.4
16,16/01/1961,446,NA,15,0,42,NA,NA,NA,NA,NA,12.8
17,17/01/1961,446,NA,11,0,27,NA,NA,NA,NA,NA,12
18,18/01/1961,446,NA,9.6,0,39,NA,NA,NA,NA,NA,25.6
19,19/01/1961,446,NA,21.8,0,60,NA,NA,NA,NA,NA,5.6
20,20/01/1961,446,NA,17.5,0,24,NA,NA,NA,NA,NA,23.2
21,21/01/1961,446,NA,12.3,0,36,NA,NA,NA,NA,NA,10.4
22,22/01/1961,446,NA,14.5,1,55,NA,NA,NA,NA,NA,15.2
23,23/01/1961,446,NA,21.5,0,NA,NA,NA,NA,NA,NA,NA
24,24/01/1961,446,NA,11.6,0,38,NA,NA,NA,NA,NA,5.6
25,25/01/1961,446,NA,12,0,43,NA,NA,NA,NA,NA,12.8
26,26/01/1961,446,NA,11.5,0,33,NA,NA,NA,NA,NA,11.2
27,27/01/1961,446,NA,12.5,0,44,NA,NA,NA,NA,NA,18.4
28,28/01/1961,446,NA,16.5,0,29,NA,NA,NA,NA,NA,13.6
29,29/01/1961,446,NA,19.2,11.5,32,NA,NA,NA,NA,NA,3.2
30,30/01/1961,446,NA,18.9,0,46,NA,NA,NA,NA,NA,5.6
31,31/01/1961,446,NA,16.3,0,56,NA,NA,NA,NA,NA,1.6
32,01/02/1961,446,NA,14,2,77,NA,NA,NA,NA,NA,6.4
33,02/02/1961,446,NA,4.5,0,47,NA,NA,NA,NA,NA,11.2
34,03/02/1961,446,NA,14,0,35,NA,NA,NA,NA,NA,NA
35,04/02/1961,446,NA,18,0,42,NA,NA,NA,NA,NA,NA
36,05/02/1961,446,NA,13.1,0,54,NA,NA,NA,NA,NA,15.2
37,06/02/1961,446,NA,15.5,0,34,NA,NA,NA,NA,NA,11.2
38,07/02/1961,446,NA,12.5,0,47,NA,NA,NA,NA,NA,4.8
39,08/02/1961,446,NA,17.5,10.8,34,NA,NA,NA,NA,NA,32.8
40,09/02/1961,446,NA,17,6.6,81,NA,NA,NA,NA,NA,3.2
41,10/02/1961,446,NA,17,0,38,NA,NA,NA,NA,NA,4.8
42,11/02/1961,446,NA,15,0,25,NA,NA,NA,NA,NA,10.4
43,12/02/1961,446,NA,13.2,0,27,NA,NA,NA,NA,NA,3.2
44,13/02/1961,446,NA,11.5,0,37,NA,NA,NA,NA,NA,8
45,14/02/1961,446,NA,13.2,0,56,NA,NA,NA,NA,NA,17.6
46,15/02/1961,446,NA,12,0,51,NA,NA,NA,NA,NA,20
47,16/02/1961,446,NA,17,16.6,50,NA,NA,NA,NA,NA,8.8
48,17/02/1961,446,NA,18,1,84,NA,NA,NA,NA,NA,4.8
49,18/02/1961,446,NA,17,0,76,NA,NA,NA,NA,NA,1.6
50,19/02/1961,446,NA,15.5,0,67,NA,NA,NA,NA,NA,10.4
51,20/02/1961,446,NA,18.5,0.5,67,NA,NA,NA,NA,NA,10.4
52,21/02/1961,446,NA,20,1.9,89,NA,NA,NA,NA,NA,3.2
53,22/02/1961,446,NA,11,0,44,NA,NA,NA,NA,NA,9.6
54,23/02/1961,446,NA,7.5,0,72,NA,NA,NA,NA,NA,24.8
55,24/02/1961,446,NA,16,11.6,70,NA,NA,NA,NA,NA,NA
56,25/02/1961,446,NA,13.5,0,37,NA,NA,NA,NA,NA,4.8
57,26/02/1961,446,NA,5.7,0,58,NA,NA,NA,NA,NA,0.8
58,27/02/1961,446,NA,6.5,0,58,NA,NA,NA,NA,NA,7.2
59,28/02/1961,446,NA,10,0,66,NA,NA,NA,NA,NA,11.2
60,01/03/1961,446,NA,14.5,0,62,NA,NA,NA,NA,NA,16
61,02/03/1961,446,NA,19,0,45,NA,NA,NA,NA,NA,4.8
62,03/03/1961,446,NA,12.9,0,43,NA,NA,NA,NA,NA,6.4
63,04/03/1961,446,NA,7.8,0,52,NA,NA,NA,NA,NA,19.2
64,05/03/1961,446,NA,8,0,52,NA,NA,NA,NA,NA,16
65,06/03/1961,446,NA,6.5,0,58,NA,NA,NA,NA,NA,14.4
66,07/03/1961,446,NA,13,0,49,NA,NA,NA,NA,NA,13.6
67,08/03/1961,446,NA,12.4,7.8,49,NA,NA,NA,NA,NA,7.2
68,09/03/1961,446,NA,15,0,59,NA,NA,NA,NA,NA,4.8
69,10/03/1961,446,NA,12.6,0,48,NA,NA,NA,NA,NA,4.8
70,11/03/1961,446,NA,14.8,27.5,82,NA,NA,NA,NA,NA,4.8
71,12/03/1961,446,NA,14,0,69,NA,NA,NA,NA,NA,3.2
72,13/03/1961,446,NA,14.8,2.5,60,NA,NA,NA,NA,NA,2.4
73,14/03/1961,446,NA,14.8,4,74,NA,NA,NA,NA,NA,5.6
