 ESTADISTICA MENSUAL CORRESPONDIENTE A : General Pico - SMN              
 LATITUD= -35.70(SUR) LONGITUD= -63.75(WdeG) ALTURA =  145 m.s.n.m.
 SERIE ANALIZADA = 1981-2010

VARIABLE_CLIMATICA  UNIDAD   ENE.   FEB.   MAR.   ABR.   MAY.   JUN.   JUL.   AGO.   SET.   OCT.   NOV.   DIC.   AñO
TEMP. MAXIMA      °C     30.6   29.5   27.0   22.7   18.6   15.1   14.7   17.5   20.1   23.4   26.8   29.5   23.0
TEMP. MINIMA      °C     17.0   15.9   14.5   10.4    6.7    3.7    2.7    4.2    6.6   10.2   13.3   15.9   10.1
TEMP. MEDIA       °C     23.8   22.7   20.7   16.5   12.7    9.4    8.7   10.9   13.3   16.8   20.0   22.7   16.5
PRECIPITACION     mm    109.2  102.5  141.8   71.5   35.3   16.4   21.6   23.6   55.0   91.0   92.6  125.2  885.6
T. MINIMA A 5     °C     14.4  -99.9   11.5    8.3    4.6    1.0  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9
T. MINIMA A 50    °C    -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9
HELIOF. EFECTIVA  hs      5.9    6.9    5.0    5.0    3.7    3.1    3.4    4.5    4.0    5.2    5.3    4.9    4.7
HELIOF. RELATIVA   %     50.5   56.1   47.9   55.3   44.1   45.2   40.6   46.8   44.8   49.3   50.6   42.2   47.8
TENSION VAPOR    hPa     18.4   18.1   16.9   13.5   10.7    8.8    8.4    8.3    9.8   12.1   13.7   16.1   12.9
HUMEDAD RELATIVA   %     59.8   62.6   68.6   70.2   74.6   74.5   72.5   64.6   62.3   60.7   56.7   56.2   65.3
TEMP. PUNTO ROCIO °C     15.7   15.6   14.4   10.9    7.3    4.6    3.8    3.6    6.0    9.2   11.1   13.6    9.6
V.VIENTO a 10m  km/h     12.9   11.7   11.5   10.5   10.2    9.5   11.2   13.6   14.9   16.0   15.2   14.0   12.6
V.VIENTO a  2m  km/h     10.3    9.3    9.2    8.4    8.1    7.6    9.0   10.9   11.9   12.8   12.2   11.2   10.1
RAD. GLOBAL    MJ/m2     17.9   18.4   13.1   10.6    7.1    5.5    6.2    8.9   10.5   14.6   16.4   16.3   12.1
EVAPOT. POTENCIAL mm    153.3  128.5  101.9   64.4   37.8   26.3   34.2   56.7   78.3  122.4  143.4  151.4 1098.6
GRADOS DIA    > 10°C    426.8  358.3  331.8  198.2   98.9   28.9   26.0   64.3  110.1  212.6  301.2  393.3 2550.4
COCIENTE FOTOTERMIC0      1.0    1.1    0.9    1.1    3.1    7.9   12.2    8.7    3.3    1.3    1.1    1.0    3.6
FRECUENCIA HELADAS        0.0    0.0    0.0    0.4    2.5    6.2    8.5    5.8    2.1    0.1    0.0    0.0   25.6
HORAS de FRIO <  7°C      0.2    0.7    2.7   29.3  121.5  245.4  300.2  211.7  102.4   22.8    3.7    0.4 1041.1

