 ESTADISTICA MENSUAL CORRESPONDIENTE A : Santa Rosa- SMN                 
 LATITUD= -36.57(SUR) LONGITUD= -64.27(WdeG) ALTURA =  191 m.s.n.m.
 SERIE ANALIZADA = 1981-2010

VARIABLE_CLIMATICA  UNIDAD   ENE.   FEB.   MAR.   ABR.   MAY.   JUN.   JUL.   AGO.   SET.   OCT.   NOV.   DIC.   AñO
TEMP. MAXIMA      °C     30.9   29.7   26.8   22.3   17.9   14.6   14.2   17.1   19.6   22.9   26.6   29.7   22.7
TEMP. MINIMA      °C     16.4   15.1   13.4    9.3    5.8    3.0    2.2    3.5    5.8    9.2   12.3   15.1    9.3
TEMP. MEDIA       °C     23.6   22.4   20.1   15.8   11.9    8.8    8.2   10.3   12.7   16.1   19.4   22.4   16.0
PRECIPITACION     mm     94.6   78.9  102.1   59.0   32.7   15.7   21.8   27.0   50.4   74.0   82.4  101.8  740.4
T. MINIMA A 5     °C    -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9
T. MINIMA A 50    °C    -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9
HELIOF. EFECTIVA  hs     10.1    8.6    7.0    6.1    5.0    4.2    4.7    5.6    6.1    7.0    9.4    9.9    7.0
HELIOF. RELATIVA   %     73.1   66.9   58.1   61.4   51.6   47.3   48.9   51.7   54.0   55.0   69.8   68.1   58.8
TENSION VAPOR    hPa     16.8   16.9   15.7   12.5    9.9    8.1    7.8    7.7    9.1   11.1   12.8   14.8   11.9
HUMEDAD RELATIVA   %     54.7   59.4   66.4   68.4   72.0   72.0   70.2   62.6   60.9   57.9   54.0   51.6   62.5
TEMP. PUNTO ROCIO °C     14.2   14.3   13.2    9.6    6.2    3.5    2.6    2.6    4.9    7.8    9.8   12.1    8.4
V.VIENTO a 10m  km/h     13.5   13.4   12.2   10.8   10.5    9.3   11.3   13.3   14.7   15.2   14.9   14.5   12.8
V.VIENTO a  2m  km/h     10.8   10.7    9.8    8.6    8.4    7.5    9.0   10.7   11.8   12.2   11.9   11.6   10.2
RAD. GLOBAL    MJ/m2     25.0   21.1   16.0   11.7    8.1    6.3    7.2    9.9   13.1   17.2   23.0   24.9   15.3
EVAPOT. POTENCIAL mm    194.5  149.0  110.1   64.4   35.7   26.8   33.2   56.9   82.1  124.9  163.4  194.2 1235.3
GRADOS DIA    > 10°C    422.8  350.0  313.4  175.8   78.8   22.2   20.0   52.7   95.1  190.1  283.4  385.4 2389.7
COCIENTE FOTOTERMIC0      1.4    1.2    1.1    1.3    4.5   10.1   18.6   10.9    4.6    1.7    1.7    1.5    4.9
FRECUENCIA HELADAS        0.0    0.0    0.0    0.5    3.3    6.6    9.7    6.6    2.8    0.2    0.0    0.0   29.6
HORAS de FRIO <  7°C      0.2    0.7    4.7   42.1  147.9  282.8  327.2  237.7  126.2   32.1    6.6    0.8 1208.9
